id,name,acronym,domain,status,identified-from,description,description_reference,plain-language_description,full-version-of-measure,image,image_alt
HRQoL001,Short Form (36) Health Survey ,,Health-Related Quality of Life ,Identified,Andersen et al ,"""The SF36 is a short questionnaire with 36 items which measure eight multi-item variables: physical functioning (10 items), social functioning (two items), role limitations due to physical problems (four items),role limitations due to emotional problems (three items), mental health (five items), energy and vitality(four items), pain (two items), and general perception of health (five items).""","British Medical Journal 1993; 306 doi: https://doi.org/10.1136/bmj.306.6890.1437
","SF-36 is a set of generic, coherent, and easily administered quality-of-life measures. These measures rely upon patient self-reporting and have been widely used.",https://www.rand.org/health/surveys/mos/36-item-short-form/survey-instrument.html,,
HRQoL002,Stroke-Specific Quality of Life Scale ,SS-QoL,Health-Related Quality of Life ,Identified,"Nobels-Janssen et al., Life Impact review  ","""The Stroke Specific Quality of Life Scale (SS-QoL) is a well known, standardised, disease specific measure to assess HRQoL after stroke that has been validated in patients with different types of stroke. The SS-QoL consists of 49 items in 12 domains and takes about 15 min to complete."" The 12 domains are self-care, mobility, upper extremity, language, vision, work, thinking, family roles, social roles, personality, mood, and energy. ","
Post, Marcel W. M., et al. “Development and Validation of a Short Version of the Stroke Specific Quality of Life Scale.” Journal of Neurology, Neurosurgery and Psychiatry [London], vol. 82, no. 3, March 2011, pp. 283–86, https://doi.org/10.1136/jnnp.2009.196394.",The SS-QOL assesses health-related quality of life specific to stroke survivors.,https://www.sralab.org/rehabilitation-measures/stroke-specific-quality-life-scale,,
HRQoL003,Stroke-Specific Quality of Life Scale (Short Version) ,SS-QoL-sv,Health-Related Quality of Life ,Identified,Nobels-Janssen et al.,The short version of the SS-QoL takes 1 question for each of the domains of the original instrument.,"
Post, Marcel W. M., et al. “Development and Validation of a Short Version of the Stroke Specific Quality of Life Scale.” Journal of Neurology, Neurosurgery and Psychiatry [London], vol. 82, no. 3, March 2011, pp. 283–86, https://doi.org/10.1136/jnnp.2009.196394.",A 12-item version of the Stroke Specific Quality of Life scale developed to reduce the burden of the full version. It collapses the 12 domains from the full version into two dimensions - 'physical' and 'psychosocial',https://www.researchgate.net/publication/46036516_Development_and_validation_of_a_short_version_of_the_Stroke_Specific_Quality_of_Life_Scale,,
HRQoL004,EuroQol 5D  [3 level and 5 level versions]  ,EQ-5D,Health-Related Quality of Life ,Identified,"Andersen et al., Leung et al., Nobels-Janssen et al., Life Impact review","""The EQ-5D descriptive system is a preference-based HRQL measure with one question for each of the five dimensions that include mobility, self-care, usual activities, pain/discomfort, and anxiety/depression. The answers given to ED-5D permit to find 243 unique health states or can be converted into EQ- 5D index an utility scores anchored at 0 for death and 1 for perfect health. The EQ-5D questionnaire also includes a Visual Analog Scale (VAS), by which respondents can report their perceived health status with a grade ranging from 0 (the worst possible health status) to 100 (the best possible health status). Finally the specific utility (in clinical and research setting) of each one of them is discussed.""",“EuroQol-5D (EQ-5D): An Instrument for Measuring Quality of Life”. 2015. Monaldi Archives for Chest Disease 78 (3). https://doi.org/10.4081/monaldi.2012.121.,"There are multiple versions of this measure. It was first introduced as a 3-item questionnaire. Later, a 5-item version was developed to reduce the ceiling effects encountered on the 3-item version and increase the sensitivity of the instrument. In the 5 level version there are five dimensions: mobility, self-care, usual activities, pain/discomfort and anxiety/depression. Each dimension itself has 5 levels: no problems, slight problems, moderate problems, severe problems and extreme problems. The respondent is asked to indicate his/her health state by ticking the box next to the most appropriate statement in each of the five dimensions. A second part of the instrument asks the respondent to rate their health from 0 - 100 by marking a cross on a line from ""the best health you can imagine"" to ""the worst health you can imagine"".",https://euroqol.org/register/obtain-eq-5d/eq-5d-sample-demos/,,
HRQoL005,Health Utility Index ,HUI,Health-Related Quality of Life ,Identified,"Nobels-Janssen et al., Life Impact review  ","""HUI is a family of generic health profiles and preference-based systems for the purposes of measuring health status, reporting health-related quality of life, and producing utility scores...HUI evolved in response to the need for a standardized system to measure health status and HRQL to describe: 1) the experience of patients undergoing therapy; 2) long-term outcomes associated with disease or therapy; 3) the efficacy, effectiveness and efficiency of healthcare interventions; and 4) the health status of general populations.""","Horsman, John, et al. “The Health Utilities Index (HUI): Concepts, Measurement Properties and Applications.” Health and Quality of Life Outcomes [England], vol. 1, no. 1, October 2003, pp. 54–54, https://doi.org/10.1186/1477-7525-1-54.","The Health Utility Index (HUI) is a standardized system for measuring health-related quality of life, providing utility scores that reflect individual health status for use in clinical studies and economic evaluations. The HUI is a family of preference-based instruments designed to measure health-related quality of life (HRQoL) across multiple dimensions. The HUI-2 measures seven health attributes — sensation (vision, hearing, speech), mobility, emotion, cognition, self-care, pain, and fertility. The HUI-3 measures eight attributes — vision, hearing, speech, ambulation, dexterity, emotion, cognition, and pain. HUI3 is generally considered more sensitive and has wider adoption in clinical studies and population health surveys.Each attribute is categorized into levels representing varying degrees of functioning or impairment. These levels are combined mathematically using preference weights derived from population-based studies to generate an overall utility score betweeo 0 and 1. ",http://healthutilities.com/,,
HRQoL006,Quality of Life after Brain Injury overall scale ,QOLIBRI-OS,Health-Related Quality of Life ,Identified,"Nobels-Janssen et al., Life Impact review  ","""The Quality of Life after Brain Injury (QOLIBRI) assessment is a recently developed descriptive system for HRQoL after TBI. The QOLIBRI was
created in response to the need for a comprehensive disease-specific measure for TBI, and was constructed simultaneously in six languages by an international multidisciplinary team. The process of development was guided by WHO concept of QoL, and a model proposed by von Steinbüchelet al. The final version of the QOLIBRI is a 37 item scale with six subscales covering areas of wellbeing and functioning that are typically affected by TBI, and a total score which provides a summary of
HRQoL. The areas include the domains ‘cognition’and ‘self ’ that are not contained in generic health status measures such as the Short-Form-36 (SF-36)""","von Steinbuechel N, Wilson L, Gibbons H, et alQOLIBRI Overall Scale: a brief index of health-related quality of life after traumatic brain injuryJournal of Neurology, Neurosurgery & Psychiatry 2012;83:1041-1047.","The Quality of Life after Brain injury (QOLIBRI) is an instrument specifically developed to assess the health-related quality of life (HRQoL) of individuals after a traumatic brain injury (TBI). It includes the person’s perspective on the condition of their health, their overall functioning and wellbeing. The QOLIBRI has 37 items associated with four scales (Cognition, Self, Daily Life and Autonomy, and Social Relationships). Items in Part A measure satisfaction with various aspects of HRQoL while Part B measures issues that individuals feel bothered by after TBI e.g. Feelings and Physical Problems.",https://qolibrinet.com/registration-for-use/,,
HRQoL007,Sickness Impact Profile ,,Health-Related Quality of Life ,Identified,Andersen et al. ,"""The Sickness Impact Profile (SIP) is a behaviorally based self-report measure. It is an instrument that is used to gauge sickness-related dysfunction. It contains 136 items that are divided into 12 categories. In
addition to category scores and the overall score, the instrument can be used to calculate a physical and a psychosocial dimension score.""","
  de Bruin, A. F., et al. “Sickness Impact Profile: The State of the Art of a Generic Functional Status Measure.” Social Science & Medicine (1982) [Oxford], vol. 35, no. 8, October 1992, pp. 1003–14, https://doi.org/10.1016/0277-9536(92)90240-Q.
"," The Sickness Impact Profile was developed to be broadly applicable across types and severities of illness, as well as across demographic and cultural subgroups. It was designed to evaluate various kinds of patient dysfunction in many different areas of activity. The SIP asks respondents to self-report the limitations of their activity. The respondent endorses statements that measure the activity that they actually perform that day, rather than what they believe they could perform. It can be adminsitered by an interviewer or self-reported. There are 136 questions across 12 categories. Scores are expressed as a percentage of dysfunction. ",https://www.mapi-trust.org/news-events/news/sickness-impact-profile-%28,,
HRQoL008,Visual Analogue Scale ,,Health-Related Quality of Life ,Identified,Andersen et al. ,"""A Visual Analogue Scale (VAS) is a measurement instrument that tries to measure a characteristic or attitude that is believed to range across a continuum of values and cannot easily be directly measured.For example, the amount of pain that a patient feels ranges across a continuum from none to an extreme amount of pain. From the patient's perspective this spectrum appears continuous ± their pain does not take discrete jumps, as a categorization of none, mild, moderate and severe would suggest. It was to capture this idea of an underlying continuum that the VAS was devised. Operationally a VAS is usually a horizontal line, 100 mm in length, anchored by word descriptors at each end. The patient marks on the line the point that they feel represents their perception of their current state. The VAS score is determined by measuring in millimetres from the left hand end of the line to the point that the patient marks.""","Crichton, Nicola. ""Visual analogue scale (VAS)."" J Clin Nurs 10.5 (2001): 706-6.",CHECK THIS: GF thinks this could refer to the VAS from the EuroQoL measurement and is not a separate measure. We need to see the paper. I wonder if Chris has a copy. ,https://karger.com/ced/article-abstract/5/Suppl.%201/3/58532/Trial-Design-Issues-Endpoints-and-Sample-Size?redirectedFrom=fulltext,,
HRQoL009,Health Related Quality of Life 15D ,,Health-Related Quality of Life ,Identified,Andersen et al. ,"""The 15D is a generic, comprehensive, 15-dimensional,standardized, self-administered measure of health-related quality of life (HRQoL) that can be used both as a profile and single index score measure... The present 15D questionnaire includes the follow-ing 15 dimensions: breathing, mental function, speech(communication), vision, mobility, usual activities, vitality, hearing, eating, elimination, sleeping, distress, discomfort and symptoms, sexual activity, and de-pression. Each dimension is divided into 5 levels, by which more or less of the attribute is distinguished.""","Sintonen, Harri. ""The 15D instrument of health-related quality of life: properties and applications."" Annals of medicine 33.5 (2001): 328-336.","The 15D is a generic, self-administered instrument for measuring Health-related Quality of Life among adults (age 16+ years). It measures HRQoL across 15 dimensions including mobility, vision, hearing, sleeping, eating, speaking, going to the toilet,  mental well-being, and other aspects of daily life and health. Respondents choose one of five responses on each dimension. Scoring the 15D creates a single index measure (0 to 1).",https://www.15d-instrument.net/site/assets/files/1002/15d_english.pdf,,
HRQoL010,Satisfaction with Life Scale ,,Health-Related Quality of Life ,Identified,"Andersen et al., Life Impact review ","""The Satisfaction With Life Scale (SWLS) was developed to assess satisfaction with the respondent's life as a whole. The scale does not assess satisfaction with life domains such as health or finances but allows Ss to integrate and weight these domains in whatever way they choose.""","Pavot, W., & Diener, E. (1993). Review of the Satisfaction With Life Scale. Psychological Assessment, 5(2), 164–172. https://doi.org/10.1037/1040-3590.5.2.164","The Satisfaction with Life Scale (SWLS) is a brief, 5-item self-report tool designed to measure global cognitive judgments of life satisfaction. Using a scale from 1 to 7 respondents indicate their agreement with five statements about their life. ",https://eddiener.com/wp-content/uploads/2024/09/SWLS-Scale.pdf,,
